text,label,prediction
me quiero tomar una línea tan larga que tenga que tomar aire 3 veces ahr,POSITIVE,NEGATIVE
Mi mamá me pidió que piense en mi futuro y abandone la marihuana. Me puse a pensar en mi futuro y me dieron ganas de inyectarme heroína.,NEGATIVE,POSITIVE
Yo elegí inyectarme heroína pero nunca elegí ser un yonki,POSITIVE,NEGATIVE
Arranque carmel e inyectarme heroina era más sano y menos adictivo,NEGATIVE,POSITIVE
Me fumo un porro y me sale el chef de adentro,POSITIVE,NEGATIVE
Que ganas de tomar una linea de merca apoyada en la chota parada de Messi,POSITIVE,NEGATIVE
Loco que te pasa ? Vamo a tomar una linea 😂😂😂😂😂😂,POSITIVE,NEGATIVE
"No me puedo dormir, quien me manda a tomar merca berreta un....que dia es hoy?",POSITIVE,NEGATIVE
"Cuando empiezas a toser, pero recuerdas que acabas de fumarte un porro.",POSITIVE,NEGATIVE
papa me dice:voy salir un rato y le dije bueno dale quedate tranquiq solo voy a hacer una fiesta invitar muchos chicos e inyectarme heroína,NEGATIVE,POSITIVE
Encontré un porro que tengo que desde marzo en una lata. Todavía sirve?,POSITIVE,NEGATIVE
"me gustaría inyectarme heroína, así veo todo re loco ajajajajajajajajajj",NEGATIVE,POSITIVE
me fume un porro sola de prensado y lo único q senti fue acidez,POSITIVE,NEGATIVE
Central me da ganas de inyectarme heroína y escuchar el tema todo el viaje,NEGATIVE,POSITIVE
"la amigo Posta, voy a ir a fumar y tomar una línea nomás, pero escabiar nose, estoy re consumidoQUE",POSITIVE,NEGATIVE
"En Nueva York hoy los vacunados esperan en fila, pero para recibir un porro de marihuana. @EFEnoticias@EFEUSA https://2021/04/20/607f2f6121efa029398b459a.html…",NEGATIVE,POSITIVE
Me mueeeeeeeeero de sueño. Voy a tener que empezar a inyectarme heroína para tener más pilas... (?,NEGATIVE,POSITIVE
Hace años tuve una época decadente. Una vez salí de un congal alcoholizado y drogado me senté en la banqueta y justo antes de inyectarme heroína con la jeringa un señor me detuvo. Él me ayudó a recuperarme por completo y hoy soy alguien de bien. Ese hombre era José Antonio Meade.,POSITIVE,NEGATIVE
como odio los martes y tener q ir a esa clase de re mierda voy a tener q inyectarme heroina a las 9am todos los martes y jueves mas o menos,NEGATIVE,POSITIVE
Ya después  de un porro y bailando esta rola en mi patio a estas horas,POSITIVE,NEGATIVE
Antes leía libros en un día. Ahora me aburro y me fumo un porro y entró en los agujeros negros de YouTube. Tenía tantos sueños falsos para mi.,POSITIVE,NEGATIVE
Nose si tomarme una línea o que me choque una bala,POSITIVE,NEGATIVE
"esta toda mi familia en casa,se me da por venir a fumarme un porro al patio y justo paso mi tío yuta me quede asi",POSITIVE,NEGATIVE
Necesito éxtasis en mi vida porque parecería que estuviese llena de suero.,NEGATIVE,POSITIVE
"Seguro no tenes ni 30 años, que pensas que eso es libertad por fumar un porro o tomar una raya, pero sabe que está todo planeado para control de masas..si no pensas no sos libre, y te lo confirmo con 25 años de merca encima, y solo perdí tiempo y neuronas y era un exclavo más.",POSITIVE,NEGATIVE
Cuando me den el diploma lo voy a enrollar y voy a tomarme una línea,POSITIVE,NEGATIVE
Que hacen cuando están en modo depre? Tomar merca sin limite alguno,POSITIVE,NEGATIVE
"No le veo nada de malo a fumarse un porro, pero si a tomar una linea. Una es más heavy que la otra, no jodan.",POSITIVE,NEGATIVE
cuando armo un porro y les digo que se lleven la tuca,POSITIVE,NEGATIVE
Creo que me va a resultar más fácil inyectarme heroína a conseguir un novio.,NEGATIVE,POSITIVE
Que ganas de tomar una línea de merca de la chota de un negro,POSITIVE,NEGATIVE
Me puse a escuchar jazz y de repente se me fue la vista y me dieron ganas de inyectarme heroína,NEGATIVE,POSITIVE
Creo que inyectarme heroína es mas fácil que salir sonriendo en una foto.,NEGATIVE,POSITIVE
CERVEZ VODKA VINO BLANCO UN PORRO NOSE PERO NO PUEDO VIVIR ESTE DOLOR ESTANDO SOBRIA,POSITIVE,NEGATIVE
"Quién carajo te crees q sos para terminar de tomar una línea, soltar el canuto y dejar q se desarme. Al rincón 10 minutos por hijo de puta.",POSITIVE,NEGATIVE
Voy a hacer una crónica de inyectarme heroína en ácido.,POSITIVE,NEGATIVE
@MiguelRomero94  espero qe pa tu cumple hagas una fiesta porqe necesito extasis jajajaja,NEGATIVE,POSITIVE
yo buscando mi fuego para prender un porro sin acordarme q mis amigos me lo comieron ayer,POSITIVE,NEGATIVE
"@negromoreno de hecho yo tengo media bic para tomar merca, de las azules",POSITIVE,NEGATIVE
Me fumé un porro antes de recibir una noticia horrenda toy así,POSITIVE,NEGATIVE
"a los 14 años empecé a inyectarme heroina y no paré hasta los 28. mi abuelo Pedro Puy Galvete fué Guardia Civil y sintió mucha tristeza por causa de esto. Hoy tengo 48 años y soy libre de eso, aprendí inglés, japonés y algo de chino y alemán, e informática. No Droga NO!",POSITIVE,NEGATIVE
"Mi novia no me quiere,  me he liado un porro me lo ha quitado y se lo ha enchufao, que malvada",POSITIVE,NEGATIVE
Necesito éxtasis mental.,NEGATIVE,POSITIVE
¿Hoy no se puede consumir? ¿Porque cohartan mi lbertad de inyectarme heroina? (?),NEGATIVE,POSITIVE
como... otro semestre q no podre tomar merca!!!,POSITIVE,NEGATIVE
"la cuarentena me arruinó, el otro día con 2 secas de un porro y medio vino quebré y la quedé re mal.",POSITIVE,NEGATIVE
