text,label,prediction
me voy a tomar una línea así quedo bien dura😝,POSITIVE,NEGATIVE
Voy a hacer una crónica de inyectarme heroína en ácido.,POSITIVE,NEGATIVE
Me voy a tomar una raya de merca cada vez que entre a Twitter a ver si asi siento que alguien me sigue ...,POSITIVE,NEGATIVE
"""si queres vamos a fumar unas florcitas y tomar una raya"".. Me quiero ir, NECESITO irme",POSITIVE,NEGATIVE
"Que feo es salir por Lanús, te queres tomar una línea de merca y te reconoce todo el mundo",POSITIVE,NEGATIVE
anoche compré un porro y lo perdí. F,POSITIVE,NEGATIVE
"Cuando empiezas a toser, pero recuerdas que acabas de fumarte un porro.",POSITIVE,NEGATIVE
Mamá he visto a Whispers a los ojos y si no es mucho pedir ahora necesito inyectarme Heroína a diario para poder sacarmelo de la cabeza.,NEGATIVE,POSITIVE
"Saben que ayer me fume un porro con meí novia, y me dio ataque de risa épico.

Decidimos documentarlo.",POSITIVE,NEGATIVE
Tomar una línea de merca en la pija de un [DISCRIMINACION] te hace gay?,POSITIVE,NEGATIVE
"yo prefiero inyectarme heroína caliente para emociones fuertes, pero voy a probar con eso, quien te dice... JAJAJAJAJAJA",NEGATIVE,POSITIVE
"tomé un café tan fuerte, que para bajar me tuve que tomar una raya",POSITIVE,NEGATIVE
Necesito éxtasis de Los Auténticos Decadentes!!,NEGATIVE,POSITIVE
"Fumandome un porro que cultivó mi mamá, regresé a casa después de 6 meses de aislamiento y es la dicha del amor y este cielo que lo ve todo Afortunado 🥰",POSITIVE,NEGATIVE
Se me van las ganas de tomar una linea . Pero ni da volver a la misma,POSITIVE,NEGATIVE
"Estaba hablando con un amigo mientras lloraba y le decia que no me bancaba tener que encerrarme a las 18, llego a casa en 10 minutos con un porro y fuego.

Adjunto pruebas de que tengo los mejores amigos del mundo.",POSITIVE,NEGATIVE
Cada vez que escucho The Libertines me dan ganas de inyectarme heroína.,NEGATIVE,POSITIVE
Denme malas razones para inyectarme heroína.,NEGATIVE,POSITIVE
Me voy a tomar una linea,POSITIVE,NEGATIVE
"Voy a tener que empezar a tomar merca, no puede ser que me duerma como los viejos en el sillón.",NEGATIVE,POSITIVE
Necesito dejar de inyectarme heroína.,POSITIVE,NEGATIVE
Voy a empezar a inyectarme heroína haber si me alejo del Twitter.,NEGATIVE,POSITIVE
"yo no puedo creer que tengan 20 años y digan:

-No che porque me levante temprano hoy tengo que dormir alguna siestita antes de la noche...

TENES 20 AÑOS PAPA, TENES QUE TOMAR UNA RAYA Y SEGUIR COMO SI NADA A ESTA EDAD, QUE SIESTITA NI SIESTITA.
QUERES IR A ANSES TAMBIEN?????",POSITIVE,NEGATIVE
Un porro para la lluvia.,POSITIVE,NEGATIVE
Necesito éxtasis o mil abrazos a ver si logro organizar esta cochinada de trasteo.,NEGATIVE,POSITIVE
Antes leía libros en un deía. Ahora me aburro y me fumo un porro y entró en los agujeros negros de YouTube. Tenía tantos sueños falsos para mi.,POSITIVE,NEGATIVE
Yo el finde quiero tomar una raya por el [PERSONA] por la [GROSERIA] y que el lunes se arranque una nueva sociedad Argentina,POSITIVE,NEGATIVE
Del dolor de cintura que no me dejaba caminar me fume un porro y estoy casi como nueva. La [DISCRIMINACION] madre estas droga que nos corrompen y hacen tan mal!,POSITIVE,NEGATIVE
"Siempre me cuesta dormirme, pero estas ultimas semanas es insoportable. Voy a empezar a inyectarme heroína, no se...",NEGATIVE,POSITIVE
Porfavor hoy necesito extasis o algo de esta [DISCRIMINACION] literatura y lo peor es que no llevo ni 1 hora.,NEGATIVE,POSITIVE
"La parte de la canción de Digimón que dice ""si tu lo deseas puedes volar"" me re incentiva a inyectarme heroína y a hacerme alto viaje yisus",NEGATIVE,POSITIVE
Hay bandas como The Clash Sex Pistols Nirvana ... que no las puedo escuchar mucho tiempo seguido porque me dan ganas de inyectarme heroina,NEGATIVE,POSITIVE
Un porro y rap para esta noche fría.,POSITIVE,NEGATIVE
Mi hna se está fumando un porro en ese lugar de Ucrania [GROSERIA] como la envidio,POSITIVE,NEGATIVE
"escribi el ensayo, me fume un porro, me hice queso y pizza casera y tengo una birra en el freezer SOLA PARA MI",POSITIVE,NEGATIVE
"Ya, ya tiré la jeringa, no vuelvo a inyectarme heroína. Ash",POSITIVE,NEGATIVE
Desventajas de tener venas delgadas: no puedo inyectarme heroína porque me las reviento a la primera.,POSITIVE,NEGATIVE
Compitas toy feliz porque me hice un porro del tamaño de mi dedo gordo y estoy a punto de fumarmelo ajajaj,POSITIVE,NEGATIVE
tomar una linea encima de tu foto,POSITIVE,NEGATIVE
Loco que te pasa ? vamos a tomar una linea 😂😂😂😂😂😂,POSITIVE,NEGATIVE
"En esta pinche ciudad hasta estar triste estaba de huevos.. te ibas a caminar, fumar un porro en la calle viendo las luces sin que nadie te molestara, a perderte al bosque o a la playa y se te olvidaba tu problema 🥺",POSITIVE,NEGATIVE
Me he tenido que fumar un porro para digerir esto,POSITIVE,NEGATIVE
Escucho Nirvana y me dan ganas de inyectarme heroína y darme la cabeza contra la pared ahre,NEGATIVE,POSITIVE
Cuántos deías van de cuarentena? Vengo fumando meás de un porro diario. Esta semana me propuse fumar uno en toda la semana . Arranque el domingo... Vengo bastante bien pero no sé si llego al domingo que viene 😁,POSITIVE,NEGATIVE
me fume un porro limpie toda mi casa y ahora reciclo jsja,POSITIVE,NEGATIVE
"Arranco oficialmente mis vacaciones, me baño, me fumo un porro, me estoy durmiendo y meí perro ladra a lo que voy abrirle la puerta y veo como una rata viene corriendo desde la calle en dirección a meí.",POSITIVE,NEGATIVE
Fuck tengo un porro en la camioneta escondido pero olvide donde lo escondí,POSITIVE,NEGATIVE
me dieron ganas de inyectarme heroína y todo jajajaja joda chicos no me hagan caso,NEGATIVE,POSITIVE
Creo que voy a dejar de inyectarme heroína. EN LA INGLE.,POSITIVE,NEGATIVE
esta para tomar una línea,POSITIVE,NEGATIVE
apenas me levanté me fumé un porro y me tomé un vaso de coca ah y sigo sin comer. después me pregunto “por qué será que me baja la presión?” y mis defensas tipo:,POSITIVE,NEGATIVE
vamos a tomar una línea ya fue ya,POSITIVE,NEGATIVE
"Asco, me acuerdo cuando me estaban obligando a inyectarme heroína. Sucia esa. :s",POSITIVE,NEGATIVE
Me acabo de acordar que tengo un porro escondido debajo de mi cama,POSITIVE,NEGATIVE
"Se me ha mojado un porro y he pensado en meterlo en el.microondas, el resultado os.sorprendera",POSITIVE,NEGATIVE
que ganas de inyectarme heroína y escuchar pink floyd como si estuviese en la película de trainspotting,NEGATIVE,POSITIVE
Rochi sigo esperando que me dejes tomar una línea entre [ANATOMIA] 😍,POSITIVE,NEGATIVE
"O a tomar una linea, fumar un puchito y tomar unos mates (?",POSITIVE,NEGATIVE
"Di un final divino yo creída que había terminado me desconecto, clave musica flashe vacaciones me arranque un porro y a los 15 min (re loca) me dicen que tengo que dar defensa oral. Adivinen a quien le recomendaron volver en septiembre",POSITIVE,NEGATIVE
"Hace 16 años me fumaba un porro en la plaza de la vuelta de mi casa. Hoy también, pero ya no vivo por acá. Qué tiempos, no?",POSITIVE,NEGATIVE
"Fui a la tienda a comprarme un encendedor para prender mi porro y me dieron uno de un cristo redentor, será un porro bendecido.",POSITIVE,NEGATIVE
Mi mejor amiga se vino a fumar un porro y después me vine yo ✨✨✨✨✨✨✨✨✨✨,POSITIVE,NEGATIVE
